"1,Grade 1,Q1,Nailalarawan ang sarili batay sa personal na impormasyon (pangalan, edad, tirahan),AP1PAM-Ia-1,Pamilya at Pagkatao,personal identity; name; age; residence"
"2,Grade 1,Q1,Natutukoy ang mga kasapi ng pamilya at ugnayan ng bawat isa,AP1PAM-Ia-2,Pamilya at Pagkatao,family members; relationships"
"3,Grade 1,Q1,Naiuugnay ang tungkulin ng bawat kasapi ng pamilya sa pang-araw-araw na buhay,AP1PAM-Ib-3,Pamilya at Tungkulin,responsibilities; family roles"
"4,Grade 1,Q1,Nasasalamin ang pagpapahalaga at paggalang sa bawat kasapi ng pamilya,AP1PAM-Ib-4,Pamilya at Pagpapahalaga,respect; family; values"
"5,Grade 1,Q1,Natatalakay ang mahahalagang kaganapan sa pamilya gamit ang timeline o family tree,AP1PAM-Ic-5,Kasaysayan ng Pamilya,timeline; family tree; events"
"6,Grade 1,Q1,Nailalarawan ang sariling pamilya at ang kahalagahan nito,AP1PAM-Ic-6,Pamilya at Pagkilala,family description; importance"
"7,Grade 1,Q1,Naipapakita ang wastong pagkilos sa pagtugon sa alituntunin ng pamilya,AP1PAM-Id-7,Disiplina at Asal,behavior; rules"
"8,Grade 1,Q1,Nakabubuo ng konklusyon tungkol sa mabuting ugnayan ng pamilya sa ibang pamilya sa komunidad,AP1PAM-Ie-8,Pamayanan at Pamilya,community; relationships"

"9,Grade 1,Q2,Natukoy ang mga paraan ng pagtulong sa pamilya, paaralan, at komunidad,AP1KNK-IIa-1,Pagtutulungan,helping; community support"
"10,Grade 1,Q2,Naiuugnay ang kahalagahan ng pagsunod sa nakatatanda sa loob at labas ng tahanan,AP1KNK-IIb-2,Paggalang,respect; elders"
"11,Grade 1,Q2,Naipaliliwanag ang mga tungkuling ginagampanan sa tahanan at paaralan,AP1KNK-IIc-3,Tungkulin,duties; home; school"
"12,Grade 1,Q2,Naiisa-isa ang mga alituntunin sa tahanan at paaralan,AP1KNK-IId-4,Disiplina,rules; behavior"
"13,Grade 1,Q2,Napahahalagahan ang pagsunod sa tuntunin sa paaralan,AP1KNK-IIe-5,Paggalang,responsibility; school rules"
"14,Grade 1,Q2,Nailalarawan ang mga paraan ng pagtulong sa kapwa,AP1KNK-IIf-6,Pagtutulungan,helping others"
"15,Grade 1,Q2,Natutukoy ang impluwensya ng pamilya, paaralan, at komunidad sa pagkakakilanlan ng bata,AP1KNK-IIg-7,Pagkakakilanlan,identity; social environment"
"16,Grade 1,Q2,Naiuugnay ang wastong asal sa mga sitwasyon sa tahanan at paaralan,AP1KNK-IIh-8,Asal,moral behavior"

"17,Grade 1,Q3,Naiuugnay ang mga batayang impormasyon tungkol sa paaralan (pangalan, lugar, bahagi),AP1PAA-IIIa-1,Paaralan at Komunidad,school identity; location"
"18,Grade 1,Q3,Naiuugnay ang epekto ng kapaligiran sa pag-aaral,AP1PAA-IIIb-2,Kapaligiran,environment; learning"
"19,Grade 1,Q3,Nailalarawan ang tungkulin ng mga taong bumubuo sa paaralan (guro, punong-guro, nars, etc.),AP1PAA-IIIb-4,Paaralan at Tungkulin,school roles"
"20,Grade 1,Q3,Naipaliliwanag ang kahalagahan ng paaralan sa komunidad,AP1PAA-IIIc-5,Pamayanan,school value"
